"","MatchTitle","PlayerName","Runs","Ball","Four","six","SR"
"1","New Zealand vs India, 1st T20I ","Rohit Sharma",7,6,0,1,116.67
"2","New Zealand vs India, 1st T20I ","Lokesh Rahul (wk)",56,27,4,3,207.41
"3","New Zealand vs India, 1st T20I ","Virat Kohli (c)",45,32,3,1,140.62
"4","New Zealand vs India, 1st T20I ","Shreyas Iyer",58,29,5,3,200
"5","New Zealand vs India, 1st T20I ","Shivam Dube",13,9,1,1,144.44
"6","New Zealand vs India, 1st T20I ","Manish Pandey",14,12,0,1,116.67
"7","New Zealand vs India, 2nd T20I ","Rohit Sharma",8,6,2,0,133.33
"8","New Zealand vs India, 2nd T20I ","Lokesh Rahul (wk)",57,50,3,2,114
"9","New Zealand vs India, 2nd T20I ","Virat Kohli (c)",11,12,1,0,91.67
"10","New Zealand vs India, 2nd T20I ","Shreyas Iyer",44,33,1,3,133.33
"11","New Zealand vs India, 2nd T20I ","Shivam Dube",8,4,0,1,200
"12","New Zealand vs India, 3rd T20I ","Shivam Dube",3,7,0,0,42.86
"13","New Zealand vs India, 3rd T20I ","Shreyas Iyer",17,16,0,1,106.25
"14","New Zealand vs India, 3rd T20I ","Manish Pandey",14,6,1,1,233.33
"15","New Zealand vs India, 3rd T20I ","Ravindra Jadeja",10,5,0,1,200
"16","New Zealand vs India, 4th T20I ","Shreyas Iyer",1,7,0,0,14.29
"17","New Zealand vs India, 4th T20I ","Shivam Dube",12,9,2,0,133.33
"18","New Zealand vs India, 4th T20I ","Manish Pandey",50,36,3,0,138.89
"19","New Zealand vs India, 4th T20I ","Washington Sundar",0,3,0,0,0
"20","New Zealand vs India, 4th T20I ","Navdeep Saini",11,9,2,0,122.22
"21","New Zealand vs India, 5th T20I ","Shreyas Iyer",33,31,1,2,106.45
"22","New Zealand vs India, 5th T20I ","Shivam Dube",5,6,1,0,83.33
"23","New Zealand vs India, 5th T20I ","Manish Pandey",11,4,1,1,275
"24","India vs Sri Lanka, 2nd T20I ","Lokesh Rahul",45,32,6,0,140.62
"25","India vs Sri Lanka, 2nd T20I ","Shikhar Dhawan",32,29,2,0,110.34
"26","India vs Sri Lanka, 2nd T20I ","Shreyas Iyer",34,26,3,1,130.77
"27","India vs Sri Lanka, 2nd T20I ","Virat Kohli (c)",30,17,1,2,176.47
"28","India vs Sri Lanka, 2nd T20I ","Rishabh Pant (wk)",1,1,0,0,100
"29","India vs Sri Lanka, 3rd T20I ","Manish Pandey",31,18,4,0,172.22
"30","India vs Sri Lanka, 3rd T20I ","Shreyas Iyer",4,2,1,0,200
"31","India vs Sri Lanka, 3rd T20I ","Washington Sundar",0,1,0,0,0
